epoca,loss,val_loss,accuracy,val_accuracy
1,0.22369064390659332,0.1757405400276184,0.6650000214576721,0.8500000238418579
2,0.14810043573379517,0.12475462257862091,0.8349999785423279,0.8500000238418579
3,0.11705058813095093,0.1083090677857399,0.8500000238418579,0.8500000238418579
4,0.10656599700450897,0.10118662565946579,0.8500000238418579,0.8600000143051147
5,0.10154387354850769,0.09732372313737869,0.8550000190734863,0.8600000143051147
6,0.0987652838230133,0.09484880417585373,0.8500000238418579,0.8500000238418579
7,0.09686847031116486,0.0929446592926979,0.8550000190734863,0.8500000238418579
8,0.09527696669101715,0.0913521870970726,0.862500011920929,0.8500000238418579
9,0.09387863427400589,0.08982954919338226,0.8600000143051147,0.8600000143051147
10,0.09246210008859634,0.08831241726875305,0.8650000095367432,0.8600000143051147
11,0.09103406965732574,0.08668028563261032,0.8675000071525574,0.8600000143051147
12,0.089597187936306,0.08498432487249374,0.8675000071525574,0.8600000143051147
13,0.08800411224365234,0.08333326131105423,0.8700000047683716,0.8600000143051147
14,0.08631931990385056,0.08148938417434692,0.875,0.8600000143051147
15,0.08471223711967468,0.0795079693198204,0.8774999976158142,0.8700000047683716
16,0.08291704952716827,0.07741878181695938,0.8774999976158142,0.8700000047683716
17,0.0809897631406784,0.0751698762178421,0.8799999952316284,0.8799999952316284
18,0.07899261265993118,0.07265350967645645,0.8849999904632568,0.8899999856948853
19,0.07683518528938293,0.06997092068195343,0.8899999856948853,0.8999999761581421
20,0.07452289015054703,0.06706009060144424,0.8949999809265137,0.9100000262260437
21,0.07208554446697235,0.0640328973531723,0.8974999785423279,0.9200000166893005
22,0.06951463967561722,0.06077460199594498,0.8999999761581421,0.9200000166893005
23,0.06675433367490768,0.057452455163002014,0.9024999737739563,0.9399999976158142
24,0.0638934001326561,0.054053325206041336,0.9125000238418579,0.9599999785423279
25,0.06066112220287323,0.05085790529847145,0.9200000166893005,0.9599999785423279
26,0.05761976167559624,0.04779937118291855,0.9200000166893005,0.9599999785423279
27,0.05447867885231972,0.045003172010183334,0.9300000071525574,0.9599999785423279
28,0.05165346711874008,0.04278154298663139,0.9300000071525574,0.9599999785423279
29,0.04891202598810196,0.04102156311273575,0.9325000047683716,0.9599999785423279
30,0.04622771218419075,0.039844341576099396,0.9474999904632568,0.9599999785423279
31,0.04362209141254425,0.039108891040086746,0.9474999904632568,0.9599999785423279
32,0.041290029883384705,0.038424503058195114,0.949999988079071,0.9599999785423279
33,0.039194874465465546,0.037650953978300095,0.9524999856948853,0.949999988079071
34,0.03728097677230835,0.036222781985998154,0.9549999833106995,0.949999988079071
35,0.035445235669612885,0.03370077908039093,0.9574999809265137,0.9599999785423279
36,0.03358753025531769,0.03087661787867546,0.9624999761581421,0.9599999785423279
37,0.03202946484088898,0.029199473559856415,0.9649999737739563,0.9700000286102295
38,0.030741088092327118,0.02812773734331131,0.9649999737739563,0.9800000190734863
39,0.02968447655439377,0.027350835502147675,0.9649999737739563,0.9800000190734863
40,0.028859326615929604,0.026755886152386665,0.9649999737739563,0.9700000286102295
41,0.028239993378520012,0.02644321694970131,0.9649999737739563,0.9700000286102295
42,0.02747872844338417,0.024205729365348816,0.9649999737739563,0.9800000190734863
43,0.026597000658512115,0.022524423897266388,0.9674999713897705,0.9800000190734863
44,0.02618875727057457,0.021173395216464996,0.9674999713897705,0.9800000190734863
45,0.02573859505355358,0.020365869626402855,0.9674999713897705,0.9800000190734863
46,0.024980027228593826,0.01922588422894478,0.9674999713897705,0.9800000190734863
