epoca,loss,val_loss,accuracy,val_accuracy
1,0.23916245996952057,0.2142946571111679,0.5950000286102295,0.75
2,0.2001032680273056,0.17750445008277893,0.7699999809265137,0.7400000095367432
3,0.16519330441951752,0.14929261803627014,0.7799999713897705,0.800000011920929
4,0.1408015340566635,0.13149188458919525,0.8149999976158142,0.8299999833106995
5,0.12610739469528198,0.120150625705719,0.824999988079071,0.8299999833106995
6,0.1170235127210617,0.11242800951004028,0.8349999785423279,0.8500000238418579
7,0.11085136234760284,0.10666446387767792,0.8424999713897705,0.8600000143051147
8,0.10612811893224716,0.10215801000595093,0.8475000262260437,0.8600000143051147
9,0.10222166031599045,0.09856393188238144,0.8500000238418579,0.8700000047683716
10,0.09901782125234604,0.09573645889759064,0.8550000190734863,0.8600000143051147
11,0.09665853530168533,0.09381076693534851,0.8550000190734863,0.8600000143051147
12,0.09493396431207657,0.0924246534705162,0.8525000214576721,0.8600000143051147
13,0.09356178343296051,0.09141208976507187,0.8575000166893005,0.8600000143051147
14,0.09242261946201324,0.09066172689199448,0.8600000143051147,0.8700000047683716
15,0.09145399183034897,0.090065136551857,0.8600000143051147,0.8700000047683716
16,0.09065988659858704,0.08957839757204056,0.8600000143051147,0.8700000047683716
17,0.08999811857938766,0.08921870589256287,0.8575000166893005,0.8700000047683716
18,0.08946546912193298,0.08896571397781372,0.8575000166893005,0.8700000047683716
19,0.0890343114733696,0.08874733746051788,0.8600000143051147,0.8700000047683716
20,0.08865837752819061,0.088561050593853,0.862500011920929,0.8700000047683716
21,0.08832202106714249,0.08837617933750153,0.8650000095367432,0.8700000047683716
22,0.08800311386585236,0.0882309079170227,0.8650000095367432,0.8700000047683716
23,0.08767066150903702,0.08807224035263062,0.8675000071525574,0.8700000047683716
24,0.08734798431396484,0.0879024788737297,0.8675000071525574,0.8600000143051147
25,0.08702120184898376,0.08774048089981079,0.8700000047683716,0.8600000143051147
26,0.08671626448631287,0.08754818886518478,0.8725000023841858,0.8600000143051147
27,0.0864035040140152,0.08732978999614716,0.8725000023841858,0.8600000143051147
28,0.08607670664787292,0.08708302676677704,0.8725000023841858,0.8600000143051147
29,0.0857267752289772,0.08679287880659103,0.875,0.8600000143051147
30,0.08535139262676239,0.08652656525373459,0.8774999976158142,0.8600000143051147
31,0.084953173995018,0.08625217527151108,0.8774999976158142,0.8600000143051147
32,0.08452382683753967,0.08592209964990616,0.8774999976158142,0.8600000143051147
33,0.08406072854995728,0.08553541451692581,0.8774999976158142,0.8600000143051147
34,0.08355382084846497,0.08508601784706116,0.8774999976158142,0.8600000143051147
35,0.08301851153373718,0.08460548520088196,0.8774999976158142,0.8600000143051147
36,0.08243011683225632,0.08408252894878387,0.8774999976158142,0.8600000143051147
37,0.08178634941577911,0.08348581939935684,0.8774999976158142,0.8799999952316284
38,0.08107748627662659,0.08281320333480835,0.8799999952316284,0.8799999952316284
39,0.08029723912477493,0.08206100761890411,0.8799999952316284,0.8799999952316284
40,0.07943671941757202,0.08119991421699524,0.8799999952316284,0.8799999952316284
